nom_categorie        ,nom_produit                                              ,prix_produit     ,reference_produit ,url_produit
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Bois de Storm Olav             ,179.9€ HT/m²     ,Ref: 02012626127  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-bois-de-storm-olav/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Bois de Storm Omer             ,179.9€ HT/m²     ,Ref: 02012626126  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-bois-de-storm-omer/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Bois de Storm René             ,179.9€ HT/m²     ,Ref: 02012626125  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-bois-de-storm-rene-2/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Bois de Storm Gustav           ,179.9€ HT/m²     ,Ref: 02012626123  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-bois-de-storm-gustav/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Bois de Storm Leon             ,179.9€ HT/m²     ,Ref: 02012626124  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-bois-de-storm-leon/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Atelier Mandrin                ,190.9€ HT/m²     ,Ref: 02012626139  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-atelier-mandrin-3/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Artisan Anvers                 ,209.9€ HT/m²     ,Ref: 02012626107  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-artisan-anvers/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Artisan Bruges                 ,209.9€ HT/m²     ,Ref: 02012626106  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-artisan-bruges/
Parquet Semi-Massif  ,Parquet Exotic Semi-Massif Noyer                         ,199.9€ HT/m²     ,Ref: 02020215904  ,https://venessens-parquet.com/collections/parquet-exotic-semi-massif-noyer/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Atelier Ciso                   ,199.9€ HT/m²     ,Ref: 02012626120  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-atelier-ciso/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Atelier Perce                  ,199.9€ HT/m²     ,Ref: 02012626119  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-atelier-perce/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Artisan Anvers                 ,199.9€ HT/m²     ,Ref: 02012626118  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-artisan-anvers-2/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Artisan Marseille              ,199.9€ HT/m²     ,Ref: 02012626117  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-artisan-marseille/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Gustav                         ,199.9€ HT/m²     ,Ref: 02012626115  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-gustav/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Atelier Marto                  ,199.9€ HT/m²     ,Ref: 02012626116  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-atelier-marto/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Bois de Storm René             ,199.9€ HT/m²     ,Ref: 02012626109  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-bois-de-storm-rene/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Atelier Mandrin                ,199.9€ HT/m²     ,Ref: 02012626104  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-atelier-mandrin/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Zenith                         ,190.9€ HT/m²     ,Ref: 00000012541  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-zenith-2/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Artisan Marseille              ,190.9€ HT/m²     ,Ref: 02012626141  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-artisan-marseille-2/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Atelier Mandrin                ,219€ HT/m²       ,Ref: 02012626105  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-atelier-mandrin-2/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Artisan Colette                ,190.9€ HT/m²     ,Ref: 02012626140  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-artisan-colette/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Gaspard                        ,219.9€ HT/m²     ,Ref: 02012626122  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-gaspard/
Parquet Semi-Massif  ,Parquet Chêne Semi-Massif Gustav                         ,219.9€ HT/m²     ,Ref: 02012626121  ,https://venessens-parquet.com/collections/parquet-chene-semi-massif-gustav-2/
